year,state,rate,deaths,URL
2017,AL,22.9,"1,124",/nchs/pressroom/states/alabama/alabama.htm
2017,AK,24.5,180,/nchs/pressroom/states/alaska/alaska.htm
2017,AZ,15.8,"1,134",/nchs/pressroom/states/arizona/arizona.htm
2017,AR,,613,/nchs/pressroom/states/arkansas/arkansas.htm
2017,CA,7.9,"3,184",/nchs/pressroom/states/california/california.htm
2017,CO,13.4,779,/nchs/pressroom/states/colorado/colorado.htm
2017,CT,5.1,188,/nchs/pressroom/states/connecticut/connecticut.htm
2017,DE,11.7,111,/nchs/pressroom/states/delaware/delaware.htm
2017,FL,12.4,"2,724",/nchs/pressroom/states/florida/florida.htm
2017,GA,15.4,"1,623",/nchs/pressroom/states/georgia/georgia.htm
2017,HI,2.5,39,/nchs/pressroom/states/hawaii/hawaii.htm
2017,ID,16.4,280,/nchs/pressroom/states/idaho/idaho.htm
2017,IL,12.1,"1,543",/nchs/pressroom/states/illinois/illinois.htm
2017,IN,15.3,"1,016",/nchs/pressroom/states/indiana/indiana.htm
2017,IA,9,293,/nchs/pressroom/states/iowa/iowa.htm
2017,KS,16,466,/nchs/pressroom/states/kansas/kansas.htm
2017,KY,16.2,730,/nchs/pressroom/states/kentucky/kentucky.htm
2017,LA,21.7,"1,008",/nchs/pressroom/states/louisiana/louisiana.htm
2017,ME,11.7,172,/nchs/pressroom/states/maine/maine.htm
2017,MD,12.3,742,/nchs/pressroom/states/maryland/maryland.htm
2017,MA,3.7,262,/nchs/pressroom/states/massachusetts/massachusetts.htm
2017,MI,11.3,"1,138",/nchs/pressroom/states/michigan/michigan.htm
2017,MN,8.2,465,/nchs/pressroom/states/minnesota/minnesota.htm
2017,MS,21.5,632,/nchs/pressroom/states/mississippi/mississippi.htm
2017,MO,21.5,"1,307",/nchs/pressroom/states/missouri/missouri.htm
2017,MT,22.5,244,/nchs/pressroom/states/montana/montana.htm
2017,NE,8.3,160,/nchs/pressroom/states/nebraska/nebraska.htm
2017,NV,16.7,508,/nchs/pressroom/states/nevada/nevada.htm
2017,NH,10.4,146,/nchs/pressroom/states/newhampshire/newhampshire.htm
2017,NJ,5.3,478,/nchs/pressroom/states/newjersey/newjersey.htm
2017,NM,18.5,394,/nchs/pressroom/states/newmexico/newmexico.htm
2017,NY,3.7,772,/nchs/pressroom/states/newyork/newyork.htm
2017,NC,13.7,"1,430",/nchs/pressroom/states/northcarolina/northcarolina.htm
2017,ND,13.2,103,/nchs/pressroom/states/northdakota/northdakota.htm
2017,OH,13.7,"1,589",/nchs/pressroom/states/ohio/ohio.htm
2017,OK,17.2,681,/nchs/pressroom/states/oklahoma/oklahoma.htm
2017,OR,12.1,528,/nchs/pressroom/states/oregon/oregon.htm
2017,PA,12.5,"1,636",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
2017,RI,3.9,43,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
2017,SC,17.7,893,/nchs/pressroom/states/southcarolina/southcarolina.htm
2017,SD,11.9,101,/nchs/pressroom/states/southdakota/southdakota.htm
2017,TN,18.4,"1,246",/nchs/pressroom/states/tenessee/tennessee.htm
2017,TX,12.4,"3,513",/nchs/pressroom/states/texas/texas.htm
2017,UT,14,410,/nchs/pressroom/states/utah/utah.htm
2017,VT,11.7,70,/nchs/pressroom/states/vermont/vermont.htm
2017,VA,11.9,"1,041",/nchs/pressroom/states/virginia/virginia.htm
2017,WA,11.1,849,/nchs/pressroom/states/washington/washington.htm
2017,WV,18.6,348,/nchs/pressroom/states/westvirginia/westvirginia.htm
2017,WI,10.6,624,/nchs/pressroom/states/wisconsin/wisconsin.htm
2017,WY,18.8,113,/nchs/pressroom/states/wyoming/wyoming.htm
2016,AL,21.5,"1,046",/nchs/pressroom/states/alabama/alabama.htm
2016,AK,23.3,177,/nchs/pressroom/states/alaska/alaska.htm
2016,AZ,15.2,"1,094",/nchs/pressroom/states/arizona/arizona.htm
2016,AR,17.8,541,/nchs/pressroom/states/arkansas/arkansas.htm
2016,CA,7.9,"3,184",/nchs/pressroom/states/california/california.htm
2016,CO,14.3,812,/nchs/pressroom/states/colorado/colorado.htm
2016,CT,4.6,172,/nchs/pressroom/states/connecticut/connecticut.htm
2016,DE,11,111,/nchs/pressroom/states/delaware/delaware.htm
2016,FL,12.6,"2,704",/nchs/pressroom/states/florida/florida.htm
2016,GA,15,"1,571",/nchs/pressroom/states/georgia/georgia.htm
2016,HI,4.5,66,/nchs/pressroom/states/hawaii/hawaii.htm
2016,ID,14.6,242,/nchs/pressroom/states/idaho/idaho.htm
2016,IL,11.7,"1,490",/nchs/pressroom/states/illinois/illinois.htm
2016,IN,15,997,/nchs/pressroom/states/indiana/indiana.htm
2016,IA,9.2,288,/nchs/pressroom/states/iowa/iowa.htm
2016,KS,13.4,383,/nchs/pressroom/states/kansas/kansas.htm
2016,KY,17.5,772,/nchs/pressroom/states/kentucky/kentucky.htm
2016,LA,21.3,987,/nchs/pressroom/states/louisiana/louisiana.htm
2016,ME,8.3,123,/nchs/pressroom/states/maine/maine.htm
2016,MD,11.9,707,/nchs/pressroom/states/maryland/maryland.htm
2016,MA,3.4,242,/nchs/pressroom/states/massachusetts/massachusetts.htm
2016,MI,12.3,"1,230",/nchs/pressroom/states/michigan/michigan.htm
2016,MN,7.6,432,/nchs/pressroom/states/minnesota/minnesota.htm
2016,MS,19.9,587,/nchs/pressroom/states/mississippi/mississippi.htm
2016,MO,19,"1,144",/nchs/pressroom/states/missouri/missouri.htm
2016,MT,18.9,194,/nchs/pressroom/states/montana/montana.htm
2016,NE,9.1,171,/nchs/pressroom/states/nebraska/nebraska.htm
2016,NV,16.8,498,/nchs/pressroom/states/nevada/nevada.htm
2016,NH,9.3,132,/nchs/pressroom/states/newhampshire/newhampshire.htm
2016,NJ,5.5,485,/nchs/pressroom/states/newjersey/newjersey.htm
2016,NM,18.1,383,/nchs/pressroom/states/newmexico/newmexico.htm
2016,NY,4.4,900,/nchs/pressroom/states/newyork/newyork.htm
2016,NC,13.7,"1,409",/nchs/pressroom/states/northcarolina/northcarolina.htm
2016,ND,11.9,90,/nchs/pressroom/states/northdakota/northdakota.htm
2016,OH,12.9,"1,524",/nchs/pressroom/states/ohio/ohio.htm
2016,OK,19.6,766,/nchs/pressroom/states/oklahoma/oklahoma.htm
2016,OR,11.9,513,/nchs/pressroom/states/oregon/oregon.htm
2016,PA,12,"1,555",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
2016,RI,4.1,49,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
2016,SC,17.7,891,/nchs/pressroom/states/southcarolina/southcarolina.htm
2016,SD,13.4,108,/nchs/pressroom/states/southdakota/southdakota.htm
2016,TN,17.1,"1,148",/nchs/pressroom/states/tenessee/tennessee.htm
2016,TX,12.1,"3,353",/nchs/pressroom/states/texas/texas.htm
2016,UT,12.9,370,/nchs/pressroom/states/utah/utah.htm
2016,VT,11.1,78,/nchs/pressroom/states/vermont/vermont.htm
2016,VA,12.1,"1,049",/nchs/pressroom/states/virginia/virginia.htm
2016,WA,9,686,/nchs/pressroom/states/washington/washington.htm
2016,WV,17.5,332,/nchs/pressroom/states/westvirginia/westvirginia.htm
2016,WI,11.4,664,/nchs/pressroom/states/wisconsin/wisconsin.htm
